month;value
Jan-2004;329977
Feb-2004;328829
Mar-2004;371689
Apr-2004;479203
May-2004;452130
Jun-2004;490559
Jul-2004;540305
Aug-2004;590561
Sep-2004;506500
Oct-2004;443223
Nov-2004;336907
Dec-2004;374071
Jan-2005;352293
Feb-2005;333955
Mar-2005;443095
Apr-2005;459344
May-2005;478889
Jun-2005;476461
Jul-2005;581585
Aug-2005;614812
Sep-2005;533382
Oct-2005;465090
Nov-2005;365355
Dec-2005;408548
Jan-2006;371871
Feb-2006;349880
Mar-2006;444293
Apr-2006;568402
May-2006;529309
Jun-2006;519870
Jul-2006;638311
Aug-2006;652578
Sep-2006;582197
Oct-2006;536648
Nov-2006;408791
Dec-2006;461855
Jan-2007;404342
Feb-2007;397173
Mar-2007;496355
Apr-2007;581859
May-2007;567280
Jun-2007;567819
Jul-2007;707040
Aug-2007;709752
Sep-2007;647643
Oct-2007;581936
Nov-2007;466856
Dec-2007;483845
Jan-2008;438486
Feb-2008;437950
Mar-2008;568487
Apr-2008;541472
May-2008;597930
Jun-2008;597411
Jul-2008;718083
Aug-2008;727666
Sep-2008;637830
Oct-2008;562553
Nov-2008;434588
Dec-2008;490520
Jan-2009;424982
Feb-2009;400229
Mar-2009;469526
Apr-2009;604401
May-2009;564336
Jun-2009;565831
Jul-2009;719085
Aug-2009;720608
Sep-2009;605890
Oct-2009;573306
Nov-2009;442830
Dec-2009;509436
Jan-2010;445975
Feb-2010;438342
Mar-2010;519054
Apr-2010;549987
May-2010;583693
Jun-2010;614238
Jul-2010;767036
Aug-2010;776465
Sep-2010;677864
Oct-2010;639773
Nov-2010;463033
Dec-2010;526591
Jan-2011;469162
Feb-2011;424964
Mar-2011;539981
Apr-2011;658018
May-2011;640412
Jun-2011;673408
Jul-2011;809195
Aug-2011;787034
Sep-2011;724610
Oct-2011;656939
Nov-2011;467661
Dec-2011;539769
Jan-2012;474322
Feb-2012;471286
Mar-2012;555214
Apr-2012;655798
May-2012;652757
Jun-2012;693430
Jul-2012;831506
Aug-2012;793676
Sep-2012;753715
Oct-2012;679729
Nov-2012;508515
Dec-2012;560699
Jan-2013;480408
Feb-2013;477202
Mar-2013;603450
Apr-2013;652313
May-2013;716281
Jun-2013;730756
Jul-2013;854351
Aug-2013;829556
Sep-2013;778401
Oct-2013;715252
Nov-2013;539719
Dec-2013;622172
Jan-2014;534160
Feb-2014;513897
Mar-2014;647211
Apr-2014;781470
May-2014;807550
Jun-2014;825387
Jul-2014;984634
Aug-2014;960698
Sep-2014;900456
Oct-2014;822184
Nov-2014;617970
Dec-2014;696847
Jan-2015;616299
Feb-2015;610540
Mar-2015;749314
Apr-2015;862565
May-2015;874977
Jun-2015;933860
Jul-2015;1078157
Aug-2015;1034941
Sep-2015;970030
Oct-2015;902157
Nov-2015;688741
Dec-2015;744793
Jan-2016;657974
Feb-2016;680046
Mar-2016;796004
Apr-2016;884709
May-2016;962243
Jun-2016;1014248
Jul-2016;1199252
Aug-2016;1156365
Sep-2016;1107960
Oct-2016;1057469
Nov-2016;831644
Dec-2016;913171
Jan-2017;804051
Feb-2017;810759
Mar-2017;971792
Apr-2017;1144985
May-2017;1155707
Jun-2017;1223480
Jul-2017;1396310
Aug-2017;1336822
Sep-2017;1289319
Oct-2017;1223516
Nov-2017;974763
Dec-2017;1055535
Jan-2018;926749
Feb-2018;942783
Mar-2018;1137055
Apr-2018;1250057
May-2018;1303542
Jun-2018;1346540
Jul-2018;1486835
Aug-2018;1416405
Sep-2018;1381091
Oct-2018;1307034
Nov-2018;1018155
Dec-2018;1072901
Jan-2019;960997
Feb-2019;961491
Mar-2019;1208761
Apr-2019;1365443
May-2019;1404123
Jun-2019;1465009
Jul-2019;1590012
Aug-2019;1536173
Sep-2019;1486583
Oct-2019;1382872
Nov-2019;1119325
Dec-2019;1172705
Jan-2020;1070261
Feb-2020;1071850
Mar-2020;536881
Apr-2020;12396
May-2020;32223
Jun-2020;86542
Jul-2020;279739
Aug-2020;426999
Sep-2020;358011
Oct-2020;295962
Nov-2020;169915
Dec-2020;267774
Jan-2021;193813
Feb-2021;57747
Mar-2021;100870
Apr-2021;189472
May-2021;294482
Jun-2021;435995
Jul-2021;655249
Aug-2021;832586
Sep-2021;819115
Oct-2021;934618
Nov-2021;835114
Dec-2021;767190
Jan-2022;582840
Feb-2022;727209
Mar-2022;976361
Apr-2022;1205437
May-2022;1284387
Jun-2022;1377507
Jul-2022;1502849
Aug-2022;1449818
Sep-2022;1418944
Oct-2022;1388171
Nov-2022;1141461
Dec-2022;1183559
Jan-2023;1095639
Feb-2023;1152621
Mar-2023;1338546
Apr-2023;1444160
May-2023;1487412
Jun-2023;1512455
Jul-2023;1673224
Aug-2023;1620116
Sep-2023;1582526
Oct-2023;1528244
Nov-2023;1208471
Dec-2023;1283545
Jan-2024;1100302
Feb-2024;1244959
Mar-2024;1440754
Apr-2024;1513227
May-2024;1583524
Jun-2024;1569561
Jul-2024;1692803
Aug-2024;1669752
