
Statistical table extracted on October 25, 2024 (09:35:52)
http://www.ine.pt



Data reference period;Geographic localization;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly;
;;Type of traffic;
;;Total;
;;Nature of traffic;
;;Total;
;;No. ;
August 2024;LPPT: Lisboa;1669752;
July 2024;LPPT: Lisboa;1692803;
June 2024;LPPT: Lisboa;1569561;
May 2024;LPPT: Lisboa;1583524;
April 2024;LPPT: Lisboa;1513227;
March 2024;LPPT: Lisboa;1440754;
February 2024;LPPT: Lisboa;1244959;
January 2024;LPPT: Lisboa;1100302;
December 2023;LPPT: Lisboa;1283545;
November 2023;LPPT: Lisboa;1208471;
October 2023;LPPT: Lisboa;1528244;
September 2023;LPPT: Lisboa;1582526;
August 2023;LPPT: Lisboa;1620116;
July 2023;LPPT: Lisboa;1673224;
June 2023;LPPT: Lisboa;1512455;
May 2023;LPPT: Lisboa;1487412;
April 2023;LPPT: Lisboa;1444160;
March 2023;LPPT: Lisboa;1338546;
February 2023;LPPT: Lisboa;1152621;
January 2023;LPPT: Lisboa;1095639;
December 2022;LPPT: Lisboa;1183559;
November 2022;LPPT: Lisboa;1141461;
October 2022;LPPT: Lisboa;1388171;
September 2022;LPPT: Lisboa;1418944;
August 2022;LPPT: Lisboa;1449818;
July 2022;LPPT: Lisboa;1502849;
June 2022;LPPT: Lisboa;1377507;
May 2022;LPPT: Lisboa;1284387;
April 2022;LPPT: Lisboa;1205437;
March 2022;LPPT: Lisboa;976361;
February 2022;LPPT: Lisboa;727209;
January 2022;LPPT: Lisboa;582840;
December 2021;LPPT: Lisboa;767190;
November 2021;LPPT: Lisboa;835114;
October 2021;LPPT: Lisboa;934618;
September 2021;LPPT: Lisboa;819115;
August 2021;LPPT: Lisboa;832586;
July 2021;LPPT: Lisboa;655249;
June 2021;LPPT: Lisboa;435995;
May 2021;LPPT: Lisboa;294482;
April 2021;LPPT: Lisboa;189472;
March 2021;LPPT: Lisboa;100870;
February 2021;LPPT: Lisboa;57747;
January 2021;LPPT: Lisboa;193813;
December 2020;LPPT: Lisboa;267774;
November 2020;LPPT: Lisboa;169915;
October 2020;LPPT: Lisboa;295962;
September 2020;LPPT: Lisboa;358011;
August 2020;LPPT: Lisboa;426999;
July 2020;LPPT: Lisboa;279739;
June 2020;LPPT: Lisboa;86542;
May 2020;LPPT: Lisboa;32223;
April 2020;LPPT: Lisboa;12396;
March 2020;LPPT: Lisboa;536881;
February 2020;LPPT: Lisboa;1071850;
January 2020;LPPT: Lisboa;1070261;
December 2019;LPPT: Lisboa;1172705;
November 2019;LPPT: Lisboa;1119325;
October 2019;LPPT: Lisboa;1382872;
September 2019;LPPT: Lisboa;1486583;
August 2019;LPPT: Lisboa;1536173;
July 2019;LPPT: Lisboa;1590012;
June 2019;LPPT: Lisboa;1465009;
May 2019;LPPT: Lisboa;1404123;
April 2019;LPPT: Lisboa;1365443;
March 2019;LPPT: Lisboa;1208761;
February 2019;LPPT: Lisboa;961491;
January 2019;LPPT: Lisboa;960997;
December 2018;LPPT: Lisboa;1072901;
November 2018;LPPT: Lisboa;1018155;
October 2018;LPPT: Lisboa;1307034;
September 2018;LPPT: Lisboa;1381091;
August 2018;LPPT: Lisboa;1416405;
July 2018;LPPT: Lisboa;1486835;
June 2018;LPPT: Lisboa;1346540;
May 2018;LPPT: Lisboa;1303542;
April 2018;LPPT: Lisboa;1250057;
March 2018;LPPT: Lisboa;1137055;
February 2018;LPPT: Lisboa;942783;
January 2018;LPPT: Lisboa;926749;
December 2017;LPPT: Lisboa;1055535;
November 2017;LPPT: Lisboa;974763;
October 2017;LPPT: Lisboa;1223516;
September 2017;LPPT: Lisboa;1289319;
